eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
196807161401,1968,7,16,14,1,54,-76.9,-5.77,65,4.4,0
196807170819,1968,7,17,8,19,17.7,-83.11,1.21,33,4.1,0
196807230714,1968,7,23,7,14,49.2,-76.97,-5.81,120,4,0
196807242231,1968,7,24,22,31,35.98,-77.72,-2.55,25.6,4.8,0
196807272206,1968,7,27,22,6,8.8,-76.76,-5.55,131,4.1,0
196807281836,1968,7,28,18,36,12.99,-77.17,-5.66,49,5,0
196807302038,1968,7,30,20,38,42.59,-80.41,-6.93,29.7,6.4,0
196808020733,1968,8,2,7,33,2,-78.8,-1.1,41,4,0
196808021009,1968,8,2,10,9,33,-77.6,-5.84,93,4.3,0
196808240640,1968,8,24,6,40,49.5,-77.09,-5.73,96,4.4,0
196808271119,1968,8,27,11,19,17.74,-77.33,-5.81,36.4,4.9,0
196809022301,1968,9,2,23,1,52.4,-77.8,-6.12,90,4.3,0
196809060749,1968,9,6,7,49,41.41,-80.32,-5.79,45,5.3,0
196809071741,1968,9,7,17,41,55.3,-77.2,-5.52,25.4,5,0
196809091957,1968,9,9,19,57,38.9,-80.88,-2.93,47,4.5,0
196809220906,1968,9,22,9,6,27.9,-81.3,-0.39,54,4.2,0
196809221542,1968,9,22,15,42,23.8,-81.7,-0.71,33,4,0
